epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,75.6312,0.87155,0.89952,0.96162,0.60871,1,0.83593,0.56653,1.07825,1.20576,1.19625,0.000456863,0.000456863,0.000456863
43,77.3976,0.97909,1.15868,1.05067,0.69385,0.9963,0.796,0.54776,1.20296,1.07146,1.39041,0.00044925,0.00044925,0.00044925
44,79.1708,0.95747,0.9832,1.02067,0.69385,0.9963,0.796,0.54776,1.20296,1.07146,1.39041,0.000441637,0.000441637,0.000441637
45,80.9459,0.9787,0.89188,1.03653,0.77117,0.78064,0.879,0.6534,1.06881,1.38398,1.2169,0.000434024,0.000434024,0.000434024
46,82.7466,1.06351,1.06119,1.05653,0.77117,0.78064,0.879,0.6534,1.06881,1.38398,1.2169,0.000426411,0.000426411,0.000426411
47,84.5911,1.03359,0.92397,1.02465,0.70152,0.8,0.879,0.60889,1.20072,1.16381,1.24109,0.000418797,0.000418797,0.000418797
48,86.3322,1.03866,0.99191,1.02024,0.70152,0.8,0.879,0.60889,1.20072,1.16381,1.24109,0.000411184,0.000411184,0.000411184
49,88.0767,0.96648,0.92266,0.97009,0.93614,0.77,0.86233,0.53735,1.44862,0.90629,1.43051,0.000403571,0.000403571,0.000403571
50,89.8037,1.00741,0.80647,0.98659,0.93614,0.77,0.86233,0.53735,1.44862,0.90629,1.43051,0.000395958,0.000395958,0.000395958
51,91.5826,0.96696,0.8111,1.0262,0.91355,0.7479,0.995,0.65739,1.35068,1.03703,1.33564,0.000388345,0.000388345,0.000388345
52,93.4107,0.90133,0.87674,1.01734,0.91355,0.7479,0.995,0.65739,1.35068,1.03703,1.33564,0.000380732,0.000380732,0.000380732
53,95.2834,0.88562,1.01395,0.98207,0.67852,0.96127,0.8955,0.59368,1.31917,0.75937,1.34636,0.000373119,0.000373119,0.000373119
54,97.0895,0.97612,0.76198,0.97998,0.67852,0.96127,0.8955,0.59368,1.31917,0.75937,1.34636,0.000365506,0.000365506,0.000365506
55,98.8845,0.85078,0.74703,0.92258,0.85484,0.8,0.86217,0.55528,1.38627,1.1895,1.40258,0.000357893,0.000357893,0.000357893
56,100.66,0.9507,0.78805,1.01285,0.85484,0.8,0.86217,0.55528,1.38627,1.1895,1.40258,0.00035028,0.00035028,0.00035028
57,102.447,0.9512,0.86615,1.02811,0.6262,0.97479,0.8955,0.60035,1.3006,1.05766,1.35564,0.000342666,0.000342666,0.000342666
58,104.226,0.89379,0.80382,0.97518,0.6262,0.97479,0.8955,0.60035,1.3006,1.05766,1.35564,0.000335053,0.000335053,0.000335053
59,106.034,0.88273,0.77547,1.04253,0.64292,1,0.879,0.61227,1.22582,1.03262,1.31278,0.00032744,0.00032744,0.00032744
60,107.818,0.79382,0.66676,0.97217,0.64292,1,0.879,0.61227,1.22582,1.03262,1.31278,0.000319827,0.000319827,0.000319827
61,109.608,0.88801,0.71945,0.96923,0.79294,0.79376,0.8625,0.66662,1.04853,1.09798,1.21341,0.000312214,0.000312214,0.000312214
62,111.35,0.81873,0.67324,0.95688,0.79294,0.79376,0.8625,0.66662,1.04853,1.09798,1.21341,0.000304601,0.000304601,0.000304601
63,113.121,0.82747,0.67927,0.96172,0.79149,0.78481,0.8625,0.67307,1.0347,1.20234,1.18596,0.000296988,0.000296988,0.000296988
64,114.953,0.78669,0.70602,0.93436,0.79149,0.78481,0.8625,0.67307,1.0347,1.20234,1.18596,0.000289375,0.000289375,0.000289375
65,116.804,0.80941,0.67469,0.95231,0.78446,0.78842,0.995,0.72296,1.09611,1.14924,1.21512,0.000281762,0.000281762,0.000281762
66,118.657,0.85976,0.82326,1.05939,0.78446,0.78842,0.995,0.72296,1.09611,1.14924,1.21512,0.000274148,0.000274148,0.000274148
67,120.484,0.72733,0.57813,0.92351,0.94453,0.8,0.995,0.76136,1.02021,0.82421,1.13496,0.000266535,0.000266535,0.000266535
68,122.303,0.82018,0.64693,0.91786,0.94453,0.8,0.995,0.76136,1.02021,0.82421,1.13496,0.000258922,0.000258922,0.000258922
69,124.157,0.83139,0.662,0.93932,0.76571,0.91317,0.995,0.72539,1.05988,0.8796,1.15902,0.000251309,0.000251309,0.000251309
70,125.881,0.81384,0.6535,0.93033,0.76571,0.91317,0.995,0.72539,1.05988,0.8796,1.15902,0.000243696,0.000243696,0.000243696
71,127.658,0.78974,0.5785,0.92415,0.79931,0.92757,0.995,0.71245,1.09023,1.00466,1.18022,0.000236083,0.000236083,0.000236083
72,129.466,0.76197,0.60339,0.96542,0.79931,0.92757,0.995,0.71245,1.09023,1.00466,1.18022,0.00022847,0.00022847,0.00022847
73,131.261,0.70585,0.64308,0.91228,0.68389,0.98215,0.995,0.71146,1.22443,1.09006,1.27772,0.000220857,0.000220857,0.000220857
74,133.127,0.77896,0.71531,0.96273,0.68389,0.98215,0.995,0.71146,1.22443,1.09006,1.27772,0.000213244,0.000213244,0.000213244
75,134.945,0.77446,0.67317,0.97626,0.6639,0.98666,0.995,0.70547,1.27323,1.18101,1.34326,0.000205631,0.000205631,0.000205631
76,136.706,0.77408,0.63769,0.96076,0.6639,0.98666,0.995,0.70547,1.27323,1.18101,1.34326,0.000198018,0.000198018,0.000198018
77,138.489,0.75257,0.64647,0.9413,0.8657,0.72087,0.995,0.66,1.24332,1.28084,1.36147,0.000190404,0.000190404,0.000190404
78,140.248,0.81021,0.60209,0.97941,0.8657,0.72087,0.995,0.66,1.24332,1.28084,1.36147,0.000182791,0.000182791,0.000182791
79,142.014,0.79815,0.67303,1.02913,0.73284,0.9928,0.995,0.68565,1.22562,1.1806,1.34691,0.000175178,0.000175178,0.000175178
80,143.762,0.72271,0.59426,0.94251,0.73284,0.9928,0.995,0.68565,1.22562,1.1806,1.34691,0.000167565,0.000167565,0.000167565
81,145.529,0.80495,0.63909,0.96453,0.80088,0.9733,0.995,0.73296,1.24228,1.00118,1.33646,0.000159952,0.000159952,0.000159952
82,147.311,0.77766,0.59809,0.92337,0.80088,0.9733,0.995,0.73296,1.24228,1.00118,1.33646,0.000152339,0.000152339,0.000152339
83,149.108,0.78374,0.60353,0.94484,0.90771,0.93655,0.995,0.72926,1.18458,0.82647,1.28984,0.000144726,0.000144726,0.000144726
84,150.849,0.72575,0.63048,0.93971,0.90771,0.93655,0.995,0.72926,1.18458,0.82647,1.28984,0.000137113,0.000137113,0.000137113
85,152.62,0.64349,0.55666,0.86486,0.93742,0.92376,0.995,0.74103,1.11836,0.78609,1.21389,0.0001295,0.0001295,0.0001295
86,154.36,0.71161,0.54967,0.86964,0.93742,0.92376,0.995,0.74103,1.11836,0.78609,1.21389,0.000121887,0.000121887,0.000121887
87,156.124,0.7045,0.52709,0.91021,0.91601,0.93155,0.995,0.74103,1.06202,0.81798,1.16231,0.000114273,0.000114273,0.000114273
88,157.863,0.71354,0.58446,0.91394,0.91601,0.93155,0.995,0.74103,1.06202,0.81798,1.16231,0.00010666,0.00010666,0.00010666
89,159.628,0.77598,0.61557,0.93833,0.84488,0.95818,0.995,0.74108,1.05559,0.86696,1.15825,9.90472e-05,9.90472e-05,9.90472e-05
90,161.34,0.70157,0.55819,0.90745,0.84488,0.95818,0.995,0.74108,1.05559,0.86696,1.15825,9.14341e-05,9.14341e-05,9.14341e-05
91,167.871,0.63473,0.60075,0.88414,0.86418,0.95266,0.995,0.74219,1.05674,0.80157,1.15266,8.3821e-05,8.3821e-05,8.3821e-05
92,170.007,0.6071,0.56524,0.92595,0.86418,0.95266,0.995,0.74219,1.05674,0.80157,1.15266,7.62079e-05,7.62079e-05,7.62079e-05
93,171.881,0.65035,0.56354,0.98136,0.94352,0.91241,0.995,0.74219,1.0522,0.69147,1.16072,6.85948e-05,6.85948e-05,6.85948e-05
94,173.707,0.6889,0.57714,0.90234,0.94352,0.91241,0.995,0.74219,1.0522,0.69147,1.16072,6.09817e-05,6.09817e-05,6.09817e-05
95,175.529,0.71033,0.54079,0.92914,0.94601,0.91312,0.995,0.74214,1.02329,0.62746,1.14663,5.33686e-05,5.33686e-05,5.33686e-05
96,177.25,0.59546,0.51556,0.87651,0.94601,0.91312,0.995,0.74214,1.02329,0.62746,1.14663,4.57555e-05,4.57555e-05,4.57555e-05
97,179.002,0.62655,0.54754,0.9253,0.95042,0.91374,0.995,0.74214,1.01041,0.57167,1.14241,3.81424e-05,3.81424e-05,3.81424e-05
98,180.701,0.64022,0.51463,0.91366,0.95042,0.91374,0.995,0.74214,1.01041,0.57167,1.14241,3.05293e-05,3.05293e-05,3.05293e-05
99,182.462,0.58865,0.52384,0.88209,0.95302,0.913,0.995,0.74214,1.01834,0.55576,1.14325,2.29162e-05,2.29162e-05,2.29162e-05
100,184.195,0.61326,0.5175,0.91083,0.95302,0.913,0.995,0.74214,1.01834,0.55576,1.14325,1.53031e-05,1.53031e-05,1.53031e-05
