epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,37.0813,0.3541,0.37892,0.70625,0.90778,0.99349,1,0.995,0.97364,0.99349,1,0.995,0.995,0.27469,0.31909,1.16278,0.8179,0.0013862,0.0013862,0.0013862
33,38.0691,0.39374,0.35351,0.70224,0.89342,0.99398,1,0.995,0.995,0.99398,1,0.995,0.995,0.26191,0.26906,0.89574,0.79618,0.0013664,0.0013664,0.0013664
34,39.0485,0.35781,0.30169,0.65469,0.91231,0.99398,1,0.995,0.995,0.99398,1,0.995,0.995,0.26191,0.26906,0.89574,0.79618,0.0013466,0.0013466,0.0013466
35,40.0446,0.36943,0.29667,0.65056,0.91871,0.99412,1,0.995,0.995,0.99412,1,0.995,0.995,0.2453,0.2743,0.83993,0.80011,0.0013268,0.0013268,0.0013268
36,41.0278,0.35395,0.35486,0.64075,0.90948,0.99412,1,0.995,0.995,0.99412,1,0.995,0.995,0.2453,0.2743,0.83993,0.80011,0.001307,0.001307,0.001307
37,42.0183,0.39957,0.36926,0.73235,0.94076,0.99255,1,0.995,0.97364,0.99255,1,0.995,0.995,0.26472,0.24275,0.80939,0.81931,0.0012872,0.0012872,0.0012872
38,42.979,0.34862,0.33745,0.63835,0.91104,0.99255,1,0.995,0.97364,0.99255,1,0.995,0.995,0.26472,0.24275,0.80939,0.81931,0.0012674,0.0012674,0.0012674
39,43.9943,0.37297,0.37516,0.66557,0.88762,0.99379,1,0.995,0.995,0.99379,1,0.995,0.95753,0.29343,0.46813,0.78254,0.79423,0.0012476,0.0012476,0.0012476
40,44.9551,0.35854,0.30298,0.6705,0.89214,0.99379,1,0.995,0.995,0.99379,1,0.995,0.95753,0.29343,0.46813,0.78254,0.79423,0.0012278,0.0012278,0.0012278
41,45.9502,0.34171,0.28344,0.61593,0.91773,0.99375,1,0.995,0.95529,0.99375,1,0.995,0.58534,0.28735,3.51675,0.91653,0.79442,0.001208,0.001208,0.001208
42,46.9629,0.34333,0.33641,0.6545,0.89653,0.99375,1,0.995,0.95529,0.99375,1,0.995,0.58534,0.28735,3.51675,0.91653,0.79442,0.0011882,0.0011882,0.0011882
43,47.9916,0.33151,0.28934,0.61621,0.89901,0.99393,1,0.995,0.995,0.99393,1,0.995,0.79205,0.2299,1.67994,0.79088,0.77033,0.0011684,0.0011684,0.0011684
44,48.9963,0.34789,0.42038,0.62407,0.87594,0.99393,1,0.995,0.995,0.99393,1,0.995,0.79205,0.2299,1.67994,0.79088,0.77033,0.0011486,0.0011486,0.0011486
45,50.0316,0.30056,0.28228,0.60704,0.88804,0.9942,1,0.995,0.995,0.9942,1,0.995,0.995,0.24191,0.24557,0.69356,0.77255,0.0011288,0.0011288,0.0011288
46,51.0593,0.33599,0.30315,0.59051,0.90451,0.9942,1,0.995,0.995,0.9942,1,0.995,0.995,0.24191,0.24557,0.69356,0.77255,0.001109,0.001109,0.001109
47,52.072,0.3023,0.2939,0.56262,0.87981,0.99429,1,0.995,0.995,0.99429,1,0.995,0.995,0.21101,0.23972,0.58239,0.74657,0.0010892,0.0010892,0.0010892
48,53.0606,0.35095,0.3101,0.57592,0.8995,0.99429,1,0.995,0.995,0.99429,1,0.995,0.995,0.21101,0.23972,0.58239,0.74657,0.0010694,0.0010694,0.0010694
49,54.1298,0.34672,0.32989,0.61777,0.88279,0.99425,1,0.995,0.995,0.99425,1,0.995,0.995,0.20576,0.24168,0.5404,0.75901,0.0010496,0.0010496,0.0010496
50,55.1753,0.33991,0.38259,0.58113,0.88956,0.99425,1,0.995,0.995,0.99425,1,0.995,0.995,0.20576,0.24168,0.5404,0.75901,0.0010298,0.0010298,0.0010298
51,56.208,0.32034,0.31082,0.6324,0.91967,0.99423,1,0.995,0.97989,0.99423,1,0.995,0.97989,0.22838,0.34954,0.64956,0.76915,0.00101,0.00101,0.00101
52,57.1949,0.34593,0.28854,0.56337,0.90928,0.99423,1,0.995,0.97989,0.99423,1,0.995,0.97989,0.22838,0.34954,0.64956,0.76915,0.0009902,0.0009902,0.0009902
53,58.2071,0.3727,0.3511,0.62622,0.91355,0.99422,1,0.995,0.97989,0.99422,1,0.995,0.97989,0.19518,0.32008,0.5169,0.74543,0.0009704,0.0009704,0.0009704
